kind	id	sha256	verdict	notes
asset_source	blockstates/amethyst_ward.json	4c823ebbcfa900cad812b37daabe93f9772a4a277f824d7d526d8c34649dccbd	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/arcane_crucible.json	29dec835b13126b21aa7b7feca5fde2c7add6a53e7882fa4419b80c795c283bf	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/darkness.json	9a3e8bb90dd6e5d773282af98ce69b181fdf62c1f3c43bd72c818c7558b63dfe	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/pure_light.json	c4375fe29f91fee9419696165be9c06a9e00054200158854eb534bd17894c068	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	icon.png	00ea24abeb49b0be46db04a7f112a02eaef935ef6f2beee24f1e5386fbea552a	PASS	Manually reviewed all frame/mip page locations; structural/pixel evidence only
asset_source	items/amethyst_greatblade.json	8a7efc31e4142cce6a3ec15dbe097f750f89381e1b0f70ec30bbe9460b23ee0b	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_greatpick.json	0c65215994072c4a3f3af8c7be8f59b8573f5a4ac9a79c774ed750032fea0558	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_greatshovel.json	0aa1d48a348fe982d78b3c4fc45512313d18158797de03440eade9a4b886401c	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_ward.json	17db6b6fb565a95bf214116709e36cc6eaa03c9a6603eb17c6c126fac0343d7f	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/ancient_greatslab.json	442f7856446343e05aee80085797b03220397fb089884cbe0ef67efc8385ec2d	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/arcane_crucible.json	2ba1e25f651d10f1bb5ffc11475d3abb856ab8d4bb3c9f613f5be33115655e5c	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_dagger.json	be45473093b279f6346b04303e96c2d4f88517d1124640701b8bb07a56587e1e	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_greataxe.json	785240611405c7e73f83a3ac61161062c3373f1c5a281b0dbad558ec11415b99	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_greatsword.json	722c8f982f810ebfbaf03b5a0017bb8eea14be1881c9240e34455111d7ce720d	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_pickaxe.json	c39c09317011c3a590f186448f2aec29ab8a72252780e4fe113d72a7785eb867	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_sabre.json	1207b87e3e5b109f860e8011c285568191778e665908265072026f2162741eb3	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_scythe.json	ac8c73afe6584d75ca781570938151fc732e888f22107980ccde342338485e54	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_shovel.json	3a355c55287fe890a02fb1cd5942d1968cee7051d7d0b8b7f5e811d4ece2afa8	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/berserkers_cleaver.json	59a3514c330e4a09315869235a9e13868f97001ed995caf023ac5d275cfb4eb9	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/berserkers_greataxe.json	7c5bf54b53b0a69c286b252de3f3501449f2ede5d5c386154880d940d074f330	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_clobberer.json	3c01b85181a81376a3843f746719759f29d739ffe4cf2272e3ac449d4e3019e0	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_greataxe.json	dee147f5b1eb8f780568143e203db845cdc2b8d0debd8144bf7ba89854eac65c	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_greatsword.json	0f2e5e65e4bb73a70d1fd4463697107122fe068271729d47892949b1c4c30582	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/blue_crystal.json	fef7a3dc624f005a57c7f94375ff0cb85c28f34ff798718abcc4cdc70a709ab6	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/calamity_blade.json	342f3b8ed70bcc8666722cbfb6fa936bc946c930f389e3f58b45602eceb5ff4b	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/claymore.json	98157d3f8977541b88c5697296cf63f3ce6916c39c1f934fec4d7013884c6673	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crescent_greataxe.json	7f3ff841278e88066a1c5d493ca28cba918bf2e95e0373d73f28a3d5779ad855	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crimson_cleaver.json	b3e0c896652ebc788c5ff0bb8bccc459feeb1901ca90cafa66105126589490d3	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crystal_frostblade.json	e5279af32ad3916f07b4b68e2a50607fffd27841d0809cba3b4408dfa4af2a03	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crystal_frostscythe.json	a61fa52855a9711a840d8ccf9858f146249f43101e8c24a97a18a8b63d399750	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dark_crystal.json	bace69a6a98577ce5a3ff07c0925c34b28d8cb026e2642c1b25568e5ba9363a5	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dark_herald_spawn_egg.json	b5d42e32cde2c0af85d5314389925a7121782ae0efba3b7750bb25eaa713cea3	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/darkness.json	c9901d13d5f19f1ff3e8fd883db8b9b9b01ce61b834c9a05b8a2b7b59b756c2f	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/darkness_creature_spawn_egg.json	47e6ae4e7f5f65a9c272ce72afb9eabcfc34080d5cdf00a3db0c125e58a1bbb4	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demonic_sword.json	e50cd0231a95978240edf50a9b19c06400b0dbeb838eb25c047b0c51aa09b595	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_blade.json	afc1728e2cff7e643d5b34d08438527091c7372556d201471e5d2b12e4b03308	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_pick.json	9af6ce97120ed0f83254dc76dcf49a9befd8d2fb4b87e21752ae74ac5a61139b	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_shovel.json	5b24e133742ce9aba63428ad26813f3941363b4b7c83efeaf6192f8f678bff14	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demonslayers_greatsword.json	c6066dcd07c17b7d59d3c1941224c76bad6252932328f7c46259ef6ac319b2ab	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dragon_sword.json	347aa0077e1776dc1d0e3f065d791cfbb5217de8e1a52f0d031ba79c4d9f1cc7	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/emerald_greatcleaver.json	4fca3bb52321c172ebc4b45e482a8cbd5930495cd78de055fa52ff2eceb8190d	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/ethereal_frostblade.json	c94c3821ab739eda85d78ea571f056676139f7d5cafad2a797edf8c8d37b33f9	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/first_vessel_spawn_egg.json	6a73394cbb7ae7cbe4b2a41fcf63b77d45a9fd8e942bafafce6f41bac2a0a444	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/flamberge.json	f69356c1d3de9842f7281a49e375cb7d806afece76633347741111872287981a	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/gilded_phoenix_greataxe.json	2bb2cfa02d0704b3db465cabb5a2372ca461430f2221874eee5aa4d3f890ef7a	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/gloomsteel_greataxe.json	6ac1e2b8d8efd8c08f5ee3a892ece9c8b73915bab64c88543b89bb7fb96e5cd7	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/gloomsteel_katana.json	be5e83eb17abbd14c4ffe6d1a61a096247fd9f6cf71d21c433dc045905e55026	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/gloomsteel_knife.json	45be105ba4b0546300ba2c4c8037d086ca540207920b20bc977249ebcc3a7236	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/grand_claymore.json	d04c23ba0e326828a5b630f31fb003bdbc9b60377af1c3b4926e1c34dc0a7b49	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/green_crystal.json	719bbea9f0f66547057fd869f4451dbb5fd840868b8ab9a3b447277765ba145f	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/heavenly_partisan.json	20f74634338fa51b9002b631bcd271a6da36fce2d51739619e39750d46cf16ab	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_ammolite.json	28f21131be28ebd5d06628e0f9203b08b37bbbeaafaa8bfe91f48875baa9005c	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_amulet.json	86923fc9d476a8a0142704928c821a931bb4802fd83e8d054a9414794cee9cd9	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_beating_heart.json	81230943b2cd0f94f78cb79171cb7d2d838da64003158f4e286c39d752b91d2f	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_blackpearl.json	19f7b0da58eee677ddeffb8d849f6b71f8729c714d44902fb36e58f537a69537	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bloodstone.json	feb5958cd63fc186a6d76db2d185790e4f479f417c90f8e43d55629b4159c1ae	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bonefigurine.json	d4dbcc793358cd123c5e358cf0bc2f207686c1042477829489da536fe4dea180	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bound_runestone_active_1.json	5589e0688211284b1bf2dfb81bfd6bb6c85a94d9545beea95f33013c314e4d7d	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bound_runestone_active_2.json	355612e2fb6cccbf65b9f79293741e90c36091a9d5669ec8cf2cd82bc4aebaf4	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bound_runestone_active_3.json	8c722862b92021ee6c61d34de44a686c9373335d57f3473c73bb518233a7c90b	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/imported_artifact_bound_runestone_inert_1.json	7e50c650f126c06b61aecadc4a0590abe2fa98a0ee516ccf1cdbe6494ee9c9bd	PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
