capture_id	screenshot	page	slot	x	y	width	height	sha256
model/item/amethyst_greatblade/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/amethyst_greatpick/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/amethyst_greatshovel/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/ancient_greatslab/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_dagger/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_greataxe/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_greatsword/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_pickaxe/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_sabre/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_scythe/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/azure_shovel/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/berserkers_cleaver/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/berserkers_greataxe/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/black_iron_clobberer/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/black_iron_greataxe/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/black_iron_greatsword/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/calamity_blade/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/claymore/gui	0021_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cbec305cae379cf5278944be36ae21624ecb2c4ba1b1bbb3e1aea0d2581fa3b9
model/item/crescent_greataxe/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/crimson_cleaver/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/crystal_frostblade/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/crystal_frostscythe/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/demonic_sword/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/demons_blood_blade/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/demons_blood_pick/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/demons_blood_shovel/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/demonslayers_greatsword/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/dragon_sword/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/emerald_greatcleaver/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/ethereal_frostblade/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/flamberge/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/gilded_phoenix_greataxe/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/gloomsteel_greataxe/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/gloomsteel_katana/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
model/item/gloomsteel_knife/gui	0022_vfx011-items-evidence-gui-mip4-normal-page02.png	client-000.png	1	256	0	256	164	afb735bce26c6aedd90e355a356c190d3798f3b19bb546c9e5e4c7fc37a2011b
