capture_id	screenshot	sha256
model/item/solstice/gui	0056_vfx011-items-evidence-gui-mip4-normal-page04.png	5c44e13c2bb6bd5bc5352b24c7487d7db939f2bdb13aa3d9ff99c2921d52fc26
model/item/solstice/firstperson_righthand	0071_vfx011-items-evidence-firstperson_righthand-mip4-normal-page04.png	a7898ac5040012009e8917fbfa7e8b2fff5ba51082777e6bbda22a37f2e72b39
model/item/solstice/thirdperson_righthand	0081_vfx011-items-evidence-thirdperson_righthand-mip4-normal-page04.png	391bac4396a241252672c92589f951592d709646deed11103270c68a79b629c6
item/light_herald_spawn_egg/gui	0057_vfx011-items-evidence-gui-mip4-normal-page05.png	188483fa902b83b9f7e153e4af23bdd2f16f0e6bd0dd51cb191cfab0a3a17333
entity/light_herald/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
entity/dark_herald/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
entity/first_vessel/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
entity/radiant_sentinel/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
entity/shadow/wide/overlay/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
entity/shadow/slim/overlay/front	0504_vfx011-entities-front.png	81380ef7b10236cd3ef393bd20cb54963a1ee8a9a31f8edbaccb0eb828afc39e
screen/artifact_catalogue/selected/scale4/normal/wide	0770_vfx011-screen-artifact_catalogue-selected-scale4-normal-wide.png	06085aeefcf0e8b8424fa8e50acb8ac94970818d4633e33eb8b6b084390a213d
screen/grimoire_index/preview/scale4/normal/wide	0773_vfx011-screen-grimoire_index-preview-scale4-normal-wide.png	dd47c0d72f2d6c38b206369c92de44523ad9ab05d348c34b52d7f4b8dfda11d3
screen/artifact_catalogue/hover/scale2/normal/wide	0831_vfx011-screen-artifact_catalogue-hover-scale2-normal-wide.png	8efe64aa5993728f3e9df651bcbd85997ff4de5d99b60e8897f3e970abd9e2e6
hud/energy/normal/half10/normal	0844_vfx011-hud-energy-normal-half10-normal.png	cffe1f6c2f3c977157641ccc9f25cdfe97033d7f0f882e62ed1f4977ddcdd302
hud/combination/vanilla_mount/normal	0924_vfx011-hud-combination-vanilla_mount-normal.png	260dffab05111dd33577618b2f90874b6856eb740a58fd0d3f6d3928558fadac
gameplay/first_person/solstice	1017_vfx011-gameplay-first_person-solstice.png	d0ddd3422f82d25e0ce703bc5f2051522ef8d00bfa80be024cbc30dcd63090d8
gameplay/third_person/solstice	1018_vfx011-gameplay-third_person-solstice.png	cdf131f6fa8c86e205a5802ea03bcee3012223727494412fbbf3b41bac793f49
boss/light_herald/progress72	1019_vfx011-boss-light_herald-progress72.png	10eb92be11329a7c301c2bc34ca7f7e5620864dd0e17bcf572cec6f492e4a1dc
boss/dark_herald/progress38	1020_vfx011-boss-dark_herald-progress38.png	8322cce91108c806d99f236b816b4a0aa66ef688769cc8f225e6f8853c3d9957
boss/first_vessel/last_covenant/progress14	1023_vfx011-boss-first_vessel-last_covenant-progress14.png	26855543ed29d2ff610a5fc243e951a42c521076581b8d67d65d8b070b8e3f2b
